series_id,col,name,category,subcategory,units,frequency,notes,sort_key,country,concept,cycle_timing
T10Y2Y,,US Yield Curve 10Y-2Y Spread,Growth,Yield Curve,Percentage Points,Daily,Inversion (negative) has preceded every US recession 6-18m in advance,10,USA,Rates / Yields,L
T10Y3M,,US Yield Curve 10Y-3M Spread,Growth,Yield Curve,Percentage Points,Daily,Campbell & Shiller preferred recession predictor; stronger near-term signal,20,USA,Rates / Yields,L
M2SL,,US M2 Money Supply,Growth,Money Supply,Billions USD (SA),Monthly,YoY growth leads nominal GDP by 12-18m; negative YoY = deflation risk,30,USA,Money / Liquidity,L
PERMIT,,US Building Permits (SAAR),Growth,Leading Indicators,Thousands of Units (SAAR),Monthly,Leads housing starts 1-2m; YoY negative = construction contraction,50,USA,Housing,L
IC4WSA,,US Initial Jobless Claims 4-Week Average,Growth,Labour Market,Thousands of Persons (SA),Weekly,Sustained rise above 300k signals labour market deterioration,60,USA,Labour,L
PAYEMS,,US Nonfarm Payrolls MoM Change,Growth,Labour Market,Thousands of Persons (SA),Monthly,3m avg >200k = solid expansion; <100k = slowdown; negative = recession,70,USA,Labour,C
UNRATE,,US Unemployment Rate,Growth,Labour Market,Percent (SA),Monthly,Sahm Rule: 0.5pp rise in 3m average vs prior 12m low = recession signal,80,USA,Labour,G
INDPRO,,US Industrial Production Index,Growth,Real Activity,Index 2017=100 (SA),Monthly,YoY negative = recession signal; companion to manufacturing PMI,90,USA,Growth,C
RSXFS,,US Retail Sales ex-Autos MoM,Growth,Real Activity,Millions USD (SA),Monthly,Consumer spending momentum; YoY real negative = recessionary signal,100,USA,Consumer,C
DRTSCILM,,US SLOOS Net % Banks Tightening C&I Lending Standards (Large Firms),Growth,Credit Cycle,Net Percent (SA),Quarterly,Net tightening >20% has preceded every recession; 6-12m lead time,110,USA,Credit / Spreads,L
NFCI,,Chicago Fed National Financial Conditions Index (NFCI),Financial Conditions,Composite,Index,Weekly,Negative = easier than avg; positive and rising = tightening; leads growth 3-6m,120,USA,Credit / Spreads,L
CPIAUCSL,,US CPI Headline,Inflation,CPI,Index 1982-84=100 (SA),Monthly,Primary public inflation benchmark; >5% YoY = high-inflation regime,130,USA,Inflation,G
CPILFESL,,US Core CPI (ex Food & Energy),Inflation,CPI,Index 1982-84=100 (SA),Monthly,Strips transitory commodity effects; sticky >3% = overheating signal,140,USA,Inflation,G
PCEPILFE,,US Core PCE Deflator,Inflation,PCE,Index 2017=100 (SA),Monthly,Fed's preferred inflation measure; Fed 2% target refers to this series,150,USA,Inflation,G
PPIACO,,US PPI All Commodities,Inflation,PPI,Index 1982=100 (NSA),Monthly,Leads CPI by 2-3m; acceleration = leading indicator of consumer price pressure,160,USA,Inflation,C
T5YIE,,US TIPS 5Y Breakeven Inflation Rate,Inflation,Breakevens,Percent,Daily,Market-implied 5yr avg inflation; level >3% = inflation concern,170,USA,Inflation,L
T10YIE,,US TIPS 10Y Breakeven Inflation Rate,Inflation,Breakevens,Percent,Daily,Most widely watched breakeven; rising 5Y vs 10Y = near-term inflation concerns,180,USA,Inflation,L
T5YIFR,,US 5Y5Y Forward Inflation Swap Rate,Inflation,Breakevens,Percent,Daily,Market-implied inflation years 5-10; measures whether long-run expectations anchored,190,USA,Inflation,L
MICH,,UMich Consumer Inflation Expectations 1Y,Inflation,Survey,Percent,Monthly,Consumer-based; Fed watches closely; rise >3.5% would be policy alarm,200,USA,Sentiment / Survey,L
FEDFUNDS,,US Federal Funds Rate (Effective),Monetary Policy,Policy Rate,Percent (SA),Monthly,Foundational Tier 1 indicator; direction and pace determine regime trajectory,210,USA,Rates / Yields,G
DGS2,,US 2-Year Treasury Yield (Constant Maturity),Monetary Policy,Government Yields,Percent,Daily,Short-end policy-sensitive nominal rate; used for 2s10s slope and to track where markets price the Fed terminal rate,215,USA,Rates / Yields,C
DGS10,,US 10-Year Treasury Yield (Constant Maturity),Monetary Policy,Government Yields,Percent,Daily,"Benchmark long-end nominal rate; input to yield-curve slope, breakeven, and term-premium indicators; drives mortgage pricing",217,USA,Rates / Yields,C
DFII10,,US 10Y Real Interest Rate (TIPS),Monetary Policy,Real Rates,Percent,Daily,Real rates >2% historically associated with growth decel and recession risk,220,USA,Rates / Yields,L
DFII5,,US 5Y Real Interest Rate (TIPS),Monetary Policy,Real Rates,Percent,Daily,Short-end real rate; rising = tightening financial conditions for risk assets,230,USA,Rates / Yields,L
BAMLH0A0HYM2,,US HY Credit Spread OAS (ICE BofA),Financial Conditions,Credit Spreads,Percent,Daily,>600bps = severe stress; >800bps = crisis; tightening from stress = risk-on,240,USA,Credit / Spreads,L
BAMLC0A0CM,,US IG Credit Spread OAS (ICE BofA),Financial Conditions,Credit Spreads,Percent,Daily,>200bps historically coincides with recessions; IG-HY ratio = risk appetite,250,USA,Credit / Spreads,L
BAMLC0A0CMEY,,ICE BofA US Corporate Index Effective Yield,Financial Conditions,Credit Markets,Percent,Daily,All-in effective yield on broad US IG corporate bond index; level reflects risk appetite and funding costs for IG issuers,252,USA,Credit / Spreads,C
BAMLCC0A0CMTRIV,,ICE BofA US Corporate Index Total Return Index Value,Financial Conditions,Credit Markets,Index,Daily,Total return index for US IG corporates; captures coupon income plus price return; use for momentum and drawdown signals,253,USA,Credit / Spreads,C
DRTSCIS,,SLOOS: Net Tightening — C&I Loans Small Firms,Financial Conditions,Credit Conditions,Net Percent,Quarterly,Companion to DRTSCILM (large firms). Divergence = dual-speed credit cycle.,260,USA,Credit / Spreads,L
DRTSCLCC,,SLOOS: Net Tightening — Credit Card Loans,Financial Conditions,Credit Conditions,Net Percent,Quarterly,Consumer credit availability. Tightening leads consumer spending slowdown.,270,USA,Credit / Spreads,L
STDSOTHCONS,,SLOOS: Net Tightening — Consumer Loans (ex Credit Card & Auto),Financial Conditions,Credit Conditions,Net Percent,Quarterly,Auto/student/personal loan standards. Broadens consumer credit picture.,280,USA,Credit / Spreads,L
SUBLPDRCSN,,SLOOS: Net Tightening — CRE Loans (Nonfarm Nonresidential),Financial Conditions,Credit Conditions,Net Percent,Quarterly,CRE credit cycle; leads commercial property stress by 2-4 quarters.,290,USA,Credit / Spreads,L
UMCSENT,,UMich Consumer Sentiment (Overall),Survey,Consumer Sentiment,Index (1966 Q1 = 100),Monthly,Headline consumer confidence; below 70 historically correlated with recessions.,300,USA,Sentiment / Survey,L
CSCICP03USM665S,,Conference Board Consumer Confidence (US),Survey,Consumer Sentiment,Index (2015 = 100),Monthly,Business-sourced survey; leading indicator for consumer spending and employment.,310,USA,Sentiment / Survey,L
BSCICP03USM665S,,US Business Confidence,Survey,Business Sentiment,Composite indicator (normal value = 100),Monthly,OECD business confidence for US; companion to consumer confidence.,340,USA,Sentiment / Survey,L
GACDFSA066MSFRBPHI,,Philadelphia Fed: Mfg Business Conditions (General Activity),Survey,Regional Fed,Diffusion Index,Monthly,One of the earliest monthly US mfg surveys; leads ISM by ~1 week.,350,USA,Sentiment / Survey,L
GACDISA066MSFRBNY,,Empire State (NY Fed): Mfg Business Conditions,Survey,Regional Fed,Diffusion Index,Monthly,First regional Fed mfg survey released each month. Closely watched ISM preview.,360,USA,Sentiment / Survey,L
BACTUAMFRBDAL,,Dallas Fed: Mfg Business Conditions (General Activity),Survey,Regional Fed,Diffusion Index,Monthly,"Eleventh Federal Reserve District. Covers TX, northern LA, southern NM.",382,USA,Sentiment / Survey,L
PIORECRUSDM,,World Bank Iron Ore Price Index (USD),Commodity,Industrial Metals,Index,Monthly,World Bank iron ore price; proxy for China's steel and infrastructure demand; leads industrial metals and EM commodity exporters,385,USA,External / Trade,C
CSCICP03EZM665S,CONSUMER_CONF,Consumer Confidence,Survey,Consumer Sentiment,Balance (long-run avg = 100),Monthly,OECD/EC consumer confidence balance statistic. Negative = below long-run average; leading indicator for household spending.,390,EA19,Sentiment / Survey,L
IRLTLT01GBM156N,GBR_GILT_10Y,UK 10-Year Gilt Yield,Monetary Policy,Government Yields,% per annum,Monthly,UK benchmark long-rate; tracks BoE policy expectations and UK fiscal risk premium; used for UK-Bund spread analysis,395,GBR,Rates / Yields,C
IRLTLT01DEM156N,DEU_BUND_10Y,Germany 10-Year Bund Yield,Monetary Policy,Government Yields,% per annum,Monthly,Core euro area reference rate and risk-free anchor for EUR bonds; used for intra-European sovereign spread analysis,396,DEU,Rates / Yields,C
BSCICP02DEM460S,DEU_BUS_CONF,Germany Business Confidence,Survey,Business Sentiment,Composite indicator (normal value = 100),Monthly,OECD business tendency survey composite for Germany; above 100 = above-trend optimism,400,DEU,Sentiment / Survey,L
BSCICP02GBM460S,GBR_BUS_CONF,UK Business Confidence,Survey,Business Sentiment,Composite indicator (normal value = 100),Monthly,OECD business tendency survey composite (manufacturing) for UK; CBI-survey-derived; 100 = long-run average. Monthly from 1977.,401,GBR,Sentiment / Survey,L
BSCICP02FRM460S,FRA_BUS_CONF,France Business Confidence,Survey,Business Sentiment,Composite indicator (normal value = 100),Monthly,OECD business tendency survey composite for France; above 100 = above-trend optimism,403,FRA,Sentiment / Survey,L
BSCICP02ITM460S,ITA_BUS_CONF,Italy Business Confidence,Survey,Business Sentiment,Composite indicator (normal value = 100),Monthly,OECD business tendency survey composite for Italy; above 100 = above-trend optimism,404,ITA,Sentiment / Survey,L
CSCICP02DEM460S,DEU_CON_CONF,Germany Consumer Confidence,Survey,Consumer Sentiment,Composite indicator (normal value = 100),Monthly,OECD consumer opinion survey composite for Germany; below 100 = below-trend pessimism,410,DEU,Sentiment / Survey,L
CSCICP02GBM460S,GBR_CON_CONF,UK Consumer Confidence,Survey,Consumer Sentiment,Composite indicator (normal value = 100),Monthly,OECD consumer opinion survey composite for UK; below 100 = below-trend pessimism,411,GBR,Sentiment / Survey,L
CSCICP02JPM460S,JPN_CON_CONF,Japan Consumer Confidence,Survey,Consumer Sentiment,Composite indicator (normal value = 100),Monthly,OECD consumer opinion survey composite for Japan; below 100 = below-trend pessimism,412,JPN,Sentiment / Survey,L
CSCICP02CNM460S,CHN_CON_CONF,China Consumer Confidence,Survey,Consumer Sentiment,Composite indicator (normal value = 100),Monthly,OECD consumer opinion survey composite for China; below 100 = below-trend pessimism,413,CHN,Sentiment / Survey,L
CHNBSCICP02STSAM,CHN_BUS_CONF,China Business Confidence,Survey,Business Sentiment,Composite indicator (normal value = 100),Monthly,OECD business tendency survey composite (manufacturing) for China; NBS PMI-derived; 100 = long-run average. Feb 2000+.,414,CHN,Sentiment / Survey,L
AWHMAN,,US Average Weekly Hours (Manufacturing),Growth,Labour Market,Hours (SA),Monthly,Hours cut before headcount; LEI component. Decline leads payroll cuts by 1-3m.,420,USA,Labour,L
NEWORDER,,US Manufacturers' New Orders: Nondefense Capital Goods ex-Aircraft,Growth,Leading Indicators,Millions USD (SA),Monthly,Proxy for business capex intentions; LEI component. Feb 1992+.,425,USA,Manufacturing,L
TCU,,US Capacity Utilization (Total Industry),Growth,Real Activity,Percent of Capacity (SA),Monthly,Above 80% signals inflation pressure; below 75% = excess slack. Cycle-coincident.,430,USA,Manufacturing,C
W875RX1,,US Real Personal Income less Transfers,Growth,Real Activity,Billions 2017 USD (SAAR),Monthly,Private-sector income generating capacity; NBER CEI component.,432,USA,Consumer,C
PCEC96,,US Real Personal Consumption Expenditures,Growth,Real Activity,Billions 2017 USD (SAAR),Monthly,~68% of GDP; tracks business cycle closely. Core demand metric.,434,USA,Consumer,C
CMRMTSPL,,US Manufacturing & Trade Sales,Growth,Real Activity,Millions USD (SA),Monthly,CEI component covering wholesale + retail + manufacturing. Broad activity measure.,436,USA,Consumer,C
CFNAI,,Chicago Fed National Activity Index (CFNAI),Growth,Composite,Index,Monthly,Weighted avg of 85 monthly indicators; 3m avg (MA3) < -0.7 signals recession.,438,USA,Growth,C
ULCNFB,,US Unit Labour Costs (Nonfarm Business),Inflation,Labour Costs,Index 2012=100 (SA),Quarterly,Wage inflation measure; turns after cycle peak. Rising = margin squeeze.,440,USA,Labour,G
UEMPMEAN,,US Average Duration of Unemployment,Growth,Labour Market,Weeks (SA),Monthly,LAG component; extends well into recoveries. >25 weeks = severe labour slack.,442,USA,Labour,G
TOTCI,,US Commercial & Industrial Loans Outstanding,Financial Conditions,Credit Conditions,Billions USD (SA),Weekly,Bank lending volumes lag new-order signals. YoY contraction = credit crunch.,444,USA,Credit / Spreads,G
CP,,US Corporate Profits After Tax (NIPA),Growth,Earnings,Billions USD (SAAR),Quarterly,Economy-wide corporate profitability. Confirms cycle turns; forward-looking for equities.,446,USA,Growth,C
GBRCPIALLMINMEI,GBR_CPI,UK CPI (All Items),Inflation,CPI,Index 2015=100,Monthly,UK headline consumer prices. Replaces annual World Bank CPI proxy.,450,GBR,Inflation,G
BOERUKM,GBR_BANK_RATE,Bank of England Policy Rate,Monetary Policy,Policy Rate,Percent,Monthly,BoE Bank Rate. MPC decisions react to backward-looking data.,452,GBR,Rates / Yields,G
DEUPROINDMISMEI,DEU_IND_PROD,Germany Industrial Production,Growth,Real Activity,Index 2015=100 (SA),Monthly,Bellwether for euro-area manufacturing. Leads EZ GDP.,454,DEU,Growth,C
EA19CPALTT01GYM,EA_HICP,Eurozone HICP Inflation YoY,Inflation,CPI,Percent Change YoY,Monthly,ECB target variable (2%). Replaces annual World Bank CPI proxy.,456,EA19,Inflation,G
ECBDFR,EA_DEPOSIT_RATE,ECB Deposit Facility Rate,Monetary Policy,Policy Rate,Percent,Daily,ECB key policy rate since Oct 2019 corridor reform. Lagging indicator.,458,EA19,Rates / Yields,G
RBJPBIS,JPN_REER,Japan Real Effective Exchange Rate (BIS),FX,Exchange Rates,Index 2020=100,Monthly,Weak JPY supports exporter earnings. BIS broad REER; 1994+.,460,JPN,External / Trade,C
JPNPROINDMISMEI,JPN_IND_PROD,Japan Industrial Production,Growth,Real Activity,Index 2015=100 (SA),Monthly,METI monthly IP. Coincident cycle measure for Japan manufacturing.,462,JPN,Growth,C
JPNCPIALLMINMEI,JPN_CPI,Japan CPI (All Items),Inflation,CPI,Index 2015=100,Monthly,Japan headline consumer prices. Replaces annual World Bank CPI proxy.,464,JPN,Inflation,G
IRSTCB01JPM156N,JPN_POLICY_RATE,BoJ Policy Rate,Monetary Policy,Policy Rate,Percent,Monthly,Bank of Japan short-term policy rate. OECD-sourced.,466,JPN,Rates / Yields,G
MYAGM2CNM189N,CHN_M2,China M2 Money Supply YoY,Growth,Money Supply,Percent Change YoY,Monthly,M1-M2 spread watched as liquidity / animal-spirits gauge. OECD-sourced.,470,CHN,Money / Liquidity,L
IRSTCB01CNM156N,CHN_POLICY_RATE,China PBoC Policy Rate,Monetary Policy,Policy Rate,Percent,Monthly,PBoC 7-day reverse repo rate proxy. OECD central bank rate.,472,CHN,Rates / Yields,G
CHNCPIALLMINMEI,CHN_CPI,China CPI (All Items),Inflation,CPI,Index 2015=100,Monthly,China headline CPI. Replaces annual World Bank CPI proxy. Food-weighted.,474,CHN,Inflation,G
CHNPRINTO01IXPYM,CHN_IND_PROD,China Industrial Production,Growth,Real Activity,Index 2015=100 (SA),Monthly,Total industry excl. construction. OECD-sourced; 1990+.,478,CHN,Growth,C
XTIMVA01CNM667S,CHN_IMPORTS,China Imports (Merchandise),Growth,Trade,USD Growth Rate YoY,Monthly,Domestic demand barometer given commodity intensity. OECD-sourced.,480,CHN,External / Trade,C
XTEXVA01CNM667S,CHN_EXPORTS,China Exports (Merchandise),Growth,Trade,USD Growth Rate YoY,Monthly,External demand gauge; tracks global trade cycle. OECD-sourced.,482,CHN,External / Trade,C
JTSJOL,,JOLTS Job Openings (level),Growth,Labour,Thousands,Monthly,Total nonfarm job openings level from JOLTS; openings/unemployed ratio is a wage-pressure leading indicator,82,USA,Labour,L
UNEMPLOY,,Unemployed Persons (level),Growth,Labour,Thousands,Monthly,CPS unemployed persons level (16+); denominator for the openings/unemployed ratio,84,USA,Labour,C
MORTGAGE30US,,30-Year Fixed Mortgage Rate,Monetary Policy,Mortgage Rates,Percent,Weekly,Freddie Mac primary mortgage market survey 30Y fixed-rate average; spread to DGS10 = mortgage credit risk premium,219,USA,Rates / Yields,L
BAMLHE00EHYIOAS,,ICE BofA Euro High Yield OAS,Financial Conditions,Credit Spreads,Percent,Daily,Option-adjusted spread on EUR-denominated BB-and-below corporate bonds; consumed by EU_Cr2 (Euro HY spread regime indicator),410,EA19,Credit / Spreads,L
IRLTLT01ITM156N,ITA_BTP_10Y,Italy 10-Year BTP Yield,Monetary Policy,Government Yields,% per annum,Monthly,Italian benchmark long-rate (OECD via FRED); BTP-Bund spread is the canonical eurozone peripheral risk premium gauge,397,ITA,Rates / Yields,C
INDIRLTLT01STM,IND_GOVT_10Y,India 10-Year Government Bond Yield,Monetary Policy,Government Yields,% per annum,Monthly,Indian sovereign 10-year benchmark yield (OECD via FRED); INDIRLTLT01STM uses inverted naming (not IRLTLT01INM156N),398,IND,Rates / Yields,C
