indicator,pillar,sub_group,cycle_timing_prior,region,regional_analogue,requested_source_freq,lag,status,pipeline_match,pipeline_source,candidate_free_source,notes
Chicago Fed NFCI,Growth,Coincident Real-Time (Tier 3-4),Leading,Japan,(none clean),Chicago Fed / weekly,Friday,Missing-Hard,,,No clean free JP FCI,Spec: no clean JP analogue.
Chicago Fed NFCI,Growth,Coincident Real-Time (Tier 3-4),Leading,China,(none clean),Chicago Fed / weekly,Friday,Missing-Hard,,,No clean free CN FCI,Spec: no clean CN analogue.
CPI Headline (YoY%),Inflation,Official Inflation,Lagging,US,US CPI,BLS / monthly,~2 weeks,Covered,CUSR0000SA0; US_INFL1,BLS,,
CPI Headline (YoY%),Inflation,Official Inflation,Lagging,UK,ONS CPI,BLS / monthly,~2 weeks,Covered,UK CPI (ONS/FRED); UK_INFL1,ONS / FRED,,
CPI Headline (YoY%),Inflation,Official Inflation,Lagging,Eurozone,Eurostat HICP,BLS / monthly,~2 weeks,Covered,Eurozone HICP; EU_INFL1,DB.nomics,,
CPI Headline (YoY%),Inflation,Official Inflation,Lagging,Japan,MIC CPI,BLS / monthly,~2 weeks,Covered,JP CPI; JP_INFL1,World Bank / JST,,
CPI Headline (YoY%),Inflation,Official Inflation,Lagging,China,NBS CPI,BLS / monthly,~2 weeks,Covered,CHNCPIALLMINMEI; CN_INFL1,FRED,,
Core CPI (ex food & energy),Inflation,Official Inflation,Lagging,US,US Core CPI,BLS / monthly,~2 weeks,Covered,CUSR0000SA0L1E,BLS,,
Core CPI (ex food & energy),Inflation,Official Inflation,Lagging,UK,ONS Core CPI,BLS / monthly,~2 weeks,Covered,UK Core CPI Annual Rate,ONS,,
Core CPI (ex food & energy),Inflation,Official Inflation,Lagging,Eurozone,Core HICP,BLS / monthly,~2 weeks,Covered,Eurozone Core HICP,DB.nomics,,
Core CPI (ex food & energy),Inflation,Official Inflation,Lagging,Japan,JP Core CPI,BLS / monthly,~2 weeks,Covered,Japan Core CPI YoY,DB.nomics,,
Core CPI (ex food & energy),Inflation,Official Inflation,Lagging,China,NBS Core CPI,BLS / monthly,~2 weeks,Partial,CN_INFL1 (CPI+PPI blend),FRED,NBS core CPI - free (limited history),China core CPI thin; CN_INFL1 blends headline CPI and PPI instead.
PCE Deflator (Core),Inflation,Official Inflation,Lagging,US,US Core PCE,BEA / monthly,~5 weeks,Covered,PCEPILFE,FRED,,US-specific Fed measure; no regional analogue (spec: none).
Trimmed Mean / Median CPI,Inflation,Official Inflation,Lagging,US,Cleveland Median / Trimmed-Mean CPI,Cleveland / Dallas Fed,~2 weeks,Covered,MEDCPIM158SFRBCLE; TRMMEANCPIM158SFRBCLE; PCETRIM12M159SFRBDAL,FRED,,Catalogued (Bucket A): Cleveland median + 16% trimmed-mean CPI and Dallas trimmed PCE. VERIFY ids on first fetch. No regional analogue (spec: none).
PPI Final Demand (YoY%),Inflation,Official Inflation,Leading,US,US PPI,BLS / monthly,~2 weeks,Covered,PPIACO (All Commodities),FRED,FRED PPIFIS (Final Demand) - free,All-Commodities PPI in pipeline; Final-Demand variant free on FRED if exact definition needed.
PPI Final Demand (YoY%),Inflation,Official Inflation,Leading,UK,ONS PPI,BLS / monthly,~2 weeks,Covered,economy/inflationandpriceindices/timeseries/gd6y/ppi,ONS,,"Catalogued (Bucket C): ONS PPI output, all manufactured products (GD6Y, dataset 'ppi'; mm22 edition frozen 2020). Index; YoY downstream. Verified live."
PPI Final Demand (YoY%),Inflation,Official Inflation,Leading,Eurozone,Eurostat PPI,BLS / monthly,~2 weeks,Missing-Sourceable,,,Eurostat sts_inpp_m - free,Not in pipeline; Eurostat PPI free.
PPI Final Demand (YoY%),Inflation,Official Inflation,Leading,Japan,BoJ PPI,BLS / monthly,~2 weeks,Covered,Japan PPI (All Commodities); Japan Services PPI,BoJ,,
PPI Final Demand (YoY%),Inflation,Official Inflation,Leading,China,NBS PPI,BLS / monthly,~2 weeks,Covered,CHNPIEATI01GYM,FRED,,
TIPS 5-year Breakeven Rate,Inflation,Market-Implied Expectations,Leading,US,US 5y breakeven,FRED / daily,Real-time,Covered,T5YIE,FRED,,
TIPS 5-year Breakeven Rate,Inflation,Market-Implied Expectations,Leading,UK,UK linker breakeven,FRED / daily,Real-time,Covered,UK_R2 (gilt-linker breakeven),pipeline composite,,"5y/10y not split, but UK breakeven covered."
TIPS 5-year Breakeven Rate,Inflation,Market-Implied Expectations,Leading,Eurozone,OATei / Bundei breakeven,FRED / daily,Real-time,Missing-Sourceable,,,ECB / Eurostat HICP-linked yields - free (limited),Not in pipeline; EZ linker breakevens partially free via ECB.
TIPS 10-year Breakeven Rate,Inflation,Market-Implied Expectations,Leading,US,US 10y breakeven,FRED / daily,Real-time,Covered,T10YIE; US_R4,FRED,,
TIPS 10-year Breakeven Rate,Inflation,Market-Implied Expectations,Leading,UK,UK 10y breakeven,FRED / daily,Real-time,Covered,UK_R2,pipeline composite,,
TIPS 10-year Breakeven Rate,Inflation,Market-Implied Expectations,Leading,Eurozone,EZ 10y inflation swap,FRED / daily,Real-time,Missing-Hard,,,Inflation swaps proprietary; ECB linker breakeven partial,Swap proprietary; ECB linker-implied breakeven a partial free substitute.
TIPS 10-year Breakeven Rate,Inflation,Market-Implied Expectations,Leading,Japan,JP 10y breakeven,FRED / daily,Real-time,Missing-Hard,,,JP breakevens thin / proprietary,JGBi market thin; limited free data.
5y5y Forward Inflation Swap,Inflation,Market-Implied Expectations,Leading,US,US 5y5y forward inflation,Bloomberg / daily,Real-time,Covered,T5YIFR; US_INFEXP1,FRED,,FRED publishes US 5y5y forward (T5YIFR); proprietary swap not needed.
5y5y Forward Inflation Swap,Inflation,Market-Implied Expectations,Leading,UK,UK 5y5y,Bloomberg / daily,Real-time,Missing-Hard,,,Bloomberg inflation swap proprietary,No free UK 5y5y; derivable approximation from linker curve only.
5y5y Forward Inflation Swap,Inflation,Market-Implied Expectations,Leading,Eurozone,EZ 5y5y,Bloomberg / daily,Real-time,Missing-Hard,,,No clean free ECB 5y5y ILS,"CORRECTION (live ECB API check): the ECB FM dataflow carries only nominal yields, money-market rates and equity indices - no inflation-linked-swap series. EZ 5y5y is proprietary (Bloomberg), like UK/JP. Earlier 'sourceable via ECB' was incorrect."
5y5y Forward Inflation Swap,Inflation,Market-Implied Expectations,Leading,Japan,JP 5y5y,Bloomberg / daily,Real-time,Missing-Hard,,,Proprietary,
University of Michigan Inflation Expectations (5-10y),Inflation,Survey Expectations,Lagging,US,UMich 5-10y inflation expectations,Univ. Michigan / monthly,Mid-month prelim,Covered,MICH5YR; MICH (1y),FRED,,"5-10y catalogued (Bucket A, MICH5YR); 1y MICH already present. VERIFY id on first fetch."
University of Michigan Inflation Expectations (5-10y),Inflation,Survey Expectations,Lagging,UK,BoE Inflation Attitudes Survey,Univ. Michigan / monthly,Mid-month prelim,Missing-Sourceable,,,BoE/Ipsos Inflation Attitudes Survey - free (quarterly),Not in pipeline; BoE publishes free.
University of Michigan Inflation Expectations (5-10y),Inflation,Survey Expectations,Lagging,Eurozone,ECB Survey of Consumer Expectations,Univ. Michigan / monthly,Mid-month prelim,Covered,CES/M.Z18.ALL.T.C1120.NUM_VAR.WM,ECB,,"Catalogued (Bucket C): ECB CES euro-area 12m-ahead inflation expectations (weighted median), verified live. 3y-ahead horizon also in CES if a longer anchor is wanted."
ISM / PMI Prices Paid,Inflation,Inflation-Adjacent / Commodity,Leading,US,ISM Manufacturing Prices Paid,ISM / monthly,1st business day,Covered,ISM/prices/in,DB.nomics,,"Catalogued (Bucket C), ISM/prices/in, verified live."
ISM / PMI Prices Paid,Inflation,Inflation-Adjacent / Commodity,Leading,UK,UK PMI Prices Paid,ISM / monthly,1st business day,Missing-Hard,,,S&P Global PMI sub-index proprietary,
ISM / PMI Prices Paid,Inflation,Inflation-Adjacent / Commodity,Leading,Eurozone,EZ PMI Prices Paid,ISM / monthly,1st business day,Missing-Hard,,,S&P Global PMI sub-index proprietary,
CRB Raw Industrials Index,Inflation,Inflation-Adjacent / Commodity,Leading,Global,CRB Raw Industrials,Bloomberg / daily,Real-time,Partial,PALLFNFINDEXM (IMF non-fuel commodity index); copper/aluminium/iron ore,FRED,CRB index proprietary; IMF/World Bank industrial-metal indices - free,CRB proprietary; pipeline carries IMF non-fuel commodity index and individual industrial metals as a free ex-energy proxy.
Brent Crude Oil Price,Inflation,Inflation-Adjacent / Commodity,Coincident,Global,Brent crude,Bloomberg / daily,Real-time,Covered,POILBREUSDM (Brent); WTISPLC (WTI),FRED,,
HY Credit Spreads (ICE BofA OAS),Financial Conditions,Credit,Leading,US,US HY OAS,FRED / daily,Real-time,Covered,BAMLH0A0HYM2; US_Cr2,FRED,,5-regime classifier US_Cr2.
HY Credit Spreads (ICE BofA OAS),Financial Conditions,Credit,Leading,Eurozone,Euro HY OAS,FRED / daily,Real-time,Covered,BAMLHE00EHYIOAS; EU_Cr2,FRED,,
HY Credit Spreads (ICE BofA OAS),Financial Conditions,Credit,Leading,UK,GBP HY,FRED / daily,Real-time,Partial,UK_Cr1 (GBP corp vs gilt),pipeline composite,No standalone free GBP HY OAS,GBP corporate-vs-gilt proxy in pipeline; no clean free GBP HY OAS series.
HY Credit Spreads (ICE BofA OAS),Financial Conditions,Credit,Leading,Asia,Asia HY,FRED / daily,Real-time,Covered,BAMLEMRACRPIASIAOAS (EM Asia Corp OAS); BAMLEMCBPIOAS (EM Corp); BAMLEM2BRRBBBCRPIOAS (EM BBB),FRED (index_library),,ICE BofA EM Asia Corporate OAS already in the market-data index library.
IG Credit Spreads (OAS),Financial Conditions,Credit,Leading,US,US IG OAS,FRED / daily,Real-time,Covered,BAMLC0A0CM; US_Cr1,FRED,,
IG Credit Spreads (OAS),Financial Conditions,Credit,Leading,Eurozone,Euro IG OAS,FRED / daily,Real-time,Covered,BAMLER00ICOAS; EU_Cr1 (proxy),FRED,,"Euro Corp OAS catalogued (Bucket A, BAMLER00ICOAS). VERIFY id on first fetch."
IG Credit Spreads (OAS),Financial Conditions,Credit,Leading,UK,GBP IG OAS,FRED / daily,Real-time,Missing-Hard,UK_Cr1 (proxy),pipeline composite,No clean free GBP IG OAS,
IG Credit Spreads (OAS),Financial Conditions,Credit,Leading,Japan,JPY IG OAS,FRED / daily,Real-time,Missing-Hard,,,Proprietary,"EM Asia Corp OAS (in library) is broad-EM, not JP-specific."
IG Credit Spreads (OAS),Financial Conditions,Credit,Leading,China,CNY IG OAS,FRED / daily,Real-time,Partial,BAMLEMRACRPIASIAOAS (EM Asia Corp OAS); BAMLEMCBPIOAS (EM Corp),FRED (index_library),,Broad EM-Asia corporate OAS in library proxies CN credit; no clean standalone CNY IG OAS.
VIX (CBOE Volatility Index),Financial Conditions,Volatility,Coincident,US,VIX,CBOE / daily,Real-time,Covered,"^VIX, ^VIX3M, ^VIX9D, ^VVIX, ^SKEW (index_library); US_V1",yfinance (index_library),,Full VIX term-structure suite in the market-data library; US_V1 term-structure composite.
VIX (CBOE Volatility Index),Financial Conditions,Volatility,Coincident,Eurozone,VSTOXX (V2X) / VXEFA,CBOE / daily,Real-time,Covered,^VXEFA (CBOE EAFE Volatility),yfinance (index_library),STOXX VSTOXX/V2X also free,CBOE EAFE vol (^VXEFA) in library is the developed-Europe/Japan equity-vol gauge; dedicated VSTOXX free from STOXX if EZ-specific needed.
VIX (CBOE Volatility Index),Financial Conditions,Volatility,Coincident,UK,VFTSE / VXEFA,CBOE / daily,Real-time,Partial,^VXEFA (EAFE incl. UK),yfinance (index_library),VFTSE discontinued,UK is inside the EAFE vol index (^VXEFA) already in library; no clean UK-specific equity-vol index (VFTSE discontinued).
VIX (CBOE Volatility Index),Financial Conditions,Volatility,Coincident,Asia,VXEEM / Nikkei VI / India VIX,CBOE / daily,Real-time,Covered,^VXEEM (CBOE EM Volatility); ^VXEFA (developed Asia/Japan),yfinance (index_library),"India VIX, Nikkei VI, VHSI also free",CBOE EM vol (^VXEEM) covers EM/China; EAFE vol (^VXEFA) covers developed Asia/Japan - both in library.
MOVE Index (US Treasury Volatility),Financial Conditions,Volatility,Coincident,US,MOVE,Bloomberg / daily,Real-time,Covered,^MOVE (index_library); US_V2 (MOVE / VIX),yfinance (index_library),,MOVE index directly in the market-data library (^MOVE) and consumed via US_V2.
MOVE Index (US Treasury Volatility),Financial Conditions,Volatility,Coincident,Global,Regional bond-vol,Bloomberg / daily,Real-time,Missing-Hard,,,No free regional bond-vol analogue,Spec: less-developed regional analogues; none freely available.
US Dollar Index (DXY),Financial Conditions,FX,Coincident,Global,DXY,Bloomberg / daily,Real-time,Covered,DX-Y.NYB (index_library); FX_CMD2 (dollar),yfinance (index_library),,DXY index directly in the market-data library (DX-Y.NYB); FRED DTWEXAFEGS is a free fallback.
Goldman Sachs FCI (US),Financial Conditions,Composite FCI,Leading,US,GS US FCI,Goldman Sachs / daily,Real-time,Missing-Hard,NFCI (free proxy),FRED,GS FCI proprietary; free proxy = Chicago Fed NFCI / OFR FCI,GS FCI paywalled; Chicago Fed NFCI (in pipeline) and OFR FCI are the free substitutes.
Goldman Sachs FCI (US),Financial Conditions,Composite FCI,Leading,UK,GS UK FCI,Goldman Sachs / daily,Real-time,Missing-Hard,,,Proprietary; no clean free UK FCI,
Goldman Sachs FCI (US),Financial Conditions,Composite FCI,Leading,Eurozone,GS EZ FCI,Goldman Sachs / daily,Real-time,Covered,CISS/D.U2.Z0Z.4F.EC.SS_CIN.IDX (ECB CISS),ECB,,ECB CISS catalogued (Bucket C) as the free EZ financial-conditions substitute.
Goldman Sachs FCI (US),Financial Conditions,Composite FCI,Leading,Japan,GS JP FCI,Goldman Sachs / daily,Real-time,Missing-Hard,,,Proprietary,
Bloomberg US FCI,Financial Conditions,Composite FCI,Leading,US,Bloomberg US FCI,Bloomberg / daily,Real-time,Missing-Hard,NFCI (free proxy),FRED,Bloomberg FCI proprietary; free proxy = NFCI / OFR FCI,Proprietary; NFCI in pipeline is the free substitute.
Bloomberg US FCI,Financial Conditions,Composite FCI,Leading,UK,Bloomberg UK FCI,Bloomberg / daily,Real-time,Missing-Hard,,,Proprietary,
Bloomberg US FCI,Financial Conditions,Composite FCI,Leading,Eurozone,Bloomberg EZ FCI,Bloomberg / daily,Real-time,Covered,CISS/D.U2.Z0Z.4F.EC.SS_CIN.IDX (ECB CISS),ECB,,ECB CISS catalogued (Bucket C) as the free EZ financial-conditions substitute.
EM Currencies (EMFX Index),Financial Conditions,FX,Coincident,Global,EMFX index,Bloomberg / daily,Real-time,Covered,"FX_EM1 (EM basket); USD/CNY, USD/INR, USD/KRW, USD/TWD (index_library); FX_1; FX_2; FX_CN1",yfinance (index_library) / composite,JPM EMFX proprietary,Proprietary index; pipeline builds a free EM-currency basket (FX_EM1) from the FX pairs in the market-data library.
Federal Funds Rate (effective),Monetary Policy,Policy Rate,Leading,US,Fed Funds Rate,Fed / 8 meetings per year,Same day,Covered,FEDFUNDS,FRED,,
Federal Funds Rate (effective),Monetary Policy,Policy Rate,Leading,UK,BoE Bank Rate,Fed / 8 meetings per year,Same day,Covered,IUDBEDR,BoE,,
Federal Funds Rate (effective),Monetary Policy,Policy Rate,Leading,Eurozone,ECB Deposit Rate,Fed / 8 meetings per year,Same day,Covered,ECB Deposit Facility Rate,ECB,,
Federal Funds Rate (effective),Monetary Policy,Policy Rate,Leading,Japan,BoJ Policy Rate,Fed / 8 meetings per year,Same day,Covered,BoJ Policy Rate (overnight call),BoJ,,
Federal Funds Rate (effective),Monetary Policy,Policy Rate,Leading,China,PBoC LPR,Fed / 8 meetings per year,Same day,Partial,PBoC Policy Rate (IMF IFS),DB.nomics,PBoC 1y LPR - free,PBoC policy rate in pipeline; the specific 1y LPR is free but not the exact series fetched.
Real Federal Funds Rate,Monetary Policy,Policy Rate (derived),Leading,US,Real FFR (FFR - Core PCE),Calculated / monthly,Monthly,Covered,FEDFUNDS - PCEPILFE; US_R5 (real yield),FRED,,Derivable from series in pipeline.
Real Federal Funds Rate,Monetary Policy,Policy Rate (derived),Leading,UK,Real Bank Rate,Calculated / monthly,Monthly,Covered,IUDBEDR - UK Core CPI,BoE / ONS,,Derivable.
Real Federal Funds Rate,Monetary Policy,Policy Rate (derived),Leading,Eurozone,Real ECB rate,Calculated / monthly,Monthly,Covered,ECB Deposit Rate - Core HICP,ECB / DB.nomics,,Derivable.
Real Federal Funds Rate,Monetary Policy,Policy Rate (derived),Leading,Japan,Real BoJ rate,Calculated / monthly,Monthly,Covered,BoJ Policy Rate - JP Core CPI,BoJ / DB.nomics,,Derivable.
Real Federal Funds Rate,Monetary Policy,Policy Rate (derived),Leading,China,Real PBoC rate,Calculated / monthly,Monthly,Partial,PBoC Policy Rate - CN CPI,DB.nomics / FRED,,Derivable from policy rate + CPI; core-CPI deflator weaker.
Fed Funds Futures (implied path),Monetary Policy,Market-Implied Policy,Leading,US,Fed Funds Futures / FedWatch,CME / daily,Real-time,Missing-Hard,,,CME futures proprietary; FedWatch not programmatic free,No clean free implied-path feed; CME data licensed.
Fed Funds Futures (implied path),Monetary Policy,Market-Implied Policy,Leading,UK,SONIA futures path,CME / daily,Real-time,Missing-Hard,,,ICE SONIA futures proprietary,
Fed Funds Futures (implied path),Monetary Policy,Market-Implied Policy,Leading,Eurozone,ESTR futures path,CME / daily,Real-time,Missing-Hard,,,ESTR/Euribor futures proprietary,
Taylor Rule Gap,Monetary Policy,Policy Stance (derived),Leading,US,US Taylor Rule gap,Calculated / quarterly,Quarterly,Missing-Sourceable,"Inputs present (FFR, CPI, output gap)",FRED,Derivable; Atlanta Fed Taylor Rule utility - free,"Not currently computed; all inputs in pipeline, so derivable."
Taylor Rule Gap,Monetary Policy,Policy Stance (derived),Leading,UK,UK Taylor Rule gap,Calculated / quarterly,Quarterly,Missing-Sourceable,Inputs partially present,BoE / ONS,Derivable,"Derivable from Bank Rate, CPI, output gap."
Taylor Rule Gap,Monetary Policy,Policy Stance (derived),Leading,Eurozone,EZ Taylor Rule gap,Calculated / quarterly,Quarterly,Missing-Sourceable,Inputs partially present,ECB / Eurostat,Derivable,Derivable.
Taylor Rule Gap,Monetary Policy,Policy Stance (derived),Leading,Japan,JP Taylor Rule gap,Calculated / quarterly,Quarterly,Missing-Sourceable,Inputs partially present,BoJ,Derivable,Derivable.
Taylor Rule Gap,Monetary Policy,Policy Stance (derived),Leading,China,CN Taylor Rule gap,Calculated / quarterly,Quarterly,Missing-Sourceable,Inputs partially present,PBoC / NBS,Derivable (output gap weak),Derivable but China output-gap estimate is weak.
Global Monetary Policy Tracker,Monetary Policy,Global Stance,Coincident,Global,Net % central banks hiking vs cutting,JP Morgan / BIS / monthly,Monthly,Missing-Sourceable,Policy rates for US/UK/EZ/JP/CN/CA partly present,BIS / national CBs,Constructable from BIS central-bank policy rates - free,"JPM/BIS tracker proprietary, but constructable from the free BIS policy-rate panel already partially in pipeline."
HY-IG Spread Ratio,Risk-Appetite / Sentiment,GS Risk-Appetite Proxy,Leading,US,HY-IG ratio (z-scored),Derived (pipeline) / daily,Real-time,Covered,US_Cr3 (HY-IG); US_Cr1; US_Cr2,FRED,,Derivable from HY and IG OAS already in pipeline.
Equity Risk Premium (earnings yield minus 10y real yield),Risk-Appetite / Sentiment,GS Risk-Appetite Proxy,Coincident,US,US ERP (CAPE inverse vs real yield),Derived (pipeline) / daily,Real-time,Covered,Shiller CAPE / Earnings + DFII10 (10y real yield),Shiller / FRED,,Derivable; Shiller earnings yield and TIPS real yield both in pipeline.
VIX Term-Structure Slope,Risk-Appetite / Sentiment,GS Risk-Appetite Proxy,Coincident,US,VIX9D/VIX3M/spot term structure,Derived (pipeline) / daily,Real-time,Covered,US_V1 (VIX3M - VIX),market data,,Term-structure composite in pipeline; VIX9D extension free from CBOE.
